"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","","","1762","","de.phonebook.PhonebookTest","","Contact API Endpoints","","Bulk delete contacts",""
"passed","","","345","","de.phonebook.PhonebookTest","","Login to Phonebook","","Login to Phonebook with valid credentials",""
"passed","","","2594","","de.phonebook.PhonebookTest","","Contact API Endpoints","","Delete one contact",""
